date;month;day;year;biomass
Nov-25-2017;Nov;25;2017;1007.709
Dec-3-2017;Dec;3;2017;1156.383
Dec-11-2017;Dec;11;2017;1275.827
Dec-19-2017;Dec;19;2017;1062.983
Dec-27-2017;Dec;27;2017;388.903
Jan-1-2018;Jan;1;2018;811.295
Jan-9-2018;Jan;9;2018;864.537
Jan-17-2018;Jan;17;2018;1049.953
Jan-25-2018;Jan;25;2018;1008.336
Feb-2-2018;Feb;2;2018;868.598
Feb-10-2018;Feb;10;2018;848.962
Feb-18-2018;Feb;18;2018;789.273
Feb-26-2018;Feb;26;2018;908.403
Mar-6-2018;Mar;6;2018;939.818
Mar-14-2018;Mar;14;2018;880.659
Mar-22-2018;Mar;22;2018;1098.170
Mar-30-2018;Mar;30;2018;820.091
Apr-7-2018;Apr;7;2018;920.253
Apr-15-2018;Apr;15;2018;814.255
Apr-23-2018;Apr;23;2018;877.702
May-1-2018;May;1;2018;829.917
May-9-2018;May;9;2018;754.198
May-17-2018;May;17;2018;697.036
May-25-2018;May;25;2018;707.378
Jun-2-2018;Jun;2;2018;486.222
Jun-10-2018;Jun;10;2018;507.698
Jun-18-2018;Jun;18;2018;656.319
Jun-26-2018;Jun;26;2018;721.927
Jul-4-2018;Jul;4;2018;644.407
Jul-12-2018;Jul;12;2018;740.432
Jul-20-2018;Jul;20;2018;747.061
Jul-28-2018;Jul;28;2018;604.991
Aug-5-2018;Aug;5;2018;680.317
Aug-13-2018;Aug;13;2018;772.420
Aug-21-2018;Aug;21;2018;719.636
Aug-29-2018;Aug;29;2018;873.469
Sep-6-2018;Sep;6;2018;929.680
Sep-14-2018;Sep;14;2018;553.882
Sep-22-2018;Sep;22;2018;1030.556
Sep-30-2018;Sep;30;2018;764.884
Oct-8-2018;Oct;8;2018;749.387
Oct-16-2018;Oct;16;2018;959.840
Oct-24-2018;Oct;24;2018;1030.511
Nov-1-2018;Nov;1;2018;889.456
Nov-9-2018;Nov;9;2018;1059.244
Nov-17-2018;Nov;17;2018;856.392
Nov-25-2018;Nov;25;2018;1057.008
Dec-3-2018;Dec;3;2018;1265.101
Dec-11-2018;Dec;11;2018;1250.156
Dec-19-2018;Dec;19;2018;953.451
Dec-27-2018;Dec;27;2018;711.643
Jan-1-2019;Jan;1;2019;923.838
Jan-9-2019;Jan;9;2019;1154.942
Jan-17-2019;Jan;17;2019;907.211
Jan-25-2019;Jan;25;2019;931.728
Feb-2-2019;Feb;2;2019;782.680
Feb-10-2019;Feb;10;2019;777.004
Feb-18-2019;Feb;18;2019;749.045
Feb-26-2019;Feb;26;2019;701.457
Mar-6-2019;Mar;6;2019;770.448
Mar-14-2019;Mar;14;2019;639.743
Mar-22-2019;Mar;22;2019;950.914
Mar-30-2019;Mar;30;2019;849.415
Apr-7-2019;Apr;7;2019;759.124
Apr-15-2019;Apr;15;2019;839.723
Apr-23-2019;Apr;23;2019;788.803
May-1-2019;May;1;2019;710.210
May-9-2019;May;9;2019;595.665
May-17-2019;May;17;2019;587.782
May-25-2019;May;25;2019;689.098
Jun-2-2019;Jun;2;2019;607.037
Jun-10-2019;Jun;10;2019;686.557
Jun-18-2019;Jun;18;2019;660.819
Jun-26-2019;Jun;26;2019;610.217
Jul-4-2019;Jul;4;2019;547.688
Jul-12-2019;Jul;12;2019;595.422
Jul-20-2019;Jul;20;2019;731.256
Jul-28-2019;Jul;28;2019;624.478
Aug-5-2019;Aug;5;2019;737.324
Aug-13-2019;Aug;13;2019;634.146
Aug-21-2019;Aug;21;2019;687.398
Aug-29-2019;Aug;29;2019;718.867
Sep-6-2019;Sep;6;2019;818.812
Sep-14-2019;Sep;14;2019;747.078
Sep-22-2019;Sep;22;2019;733.657
Sep-30-2019;Sep;30;2019;1060.972
Oct-8-2019;Oct;8;2019;878.607
Oct-16-2019;Oct;16;2019;980.652
Oct-24-2019;Oct;24;2019;969.113
Nov-1-2019;Nov;1;2019;815.283
Nov-9-2019;Nov;9;2019;735.577
Nov-17-2019;Nov;17;2019;904.561
Nov-25-2019;Nov;25;2019;1027.758
Dec-3-2019;Dec;3;2019;991.608
Dec-11-2019;Dec;11;2019;937.195
Dec-19-2019;Dec;19;2019;829.561
Dec-27-2019;Dec;27;2019;817.016
Jan-1-2020;Jan;1;2020;1000.932
Jan-9-2020;Jan;9;2020;982.887
Jan-17-2020;Jan;17;2020;847.860
Jan-25-2020;Jan;25;2020;1004.090
Feb-2-2020;Feb;2;2020;727.842
Feb-10-2020;Feb;10;2020;805.239
Feb-18-2020;Feb;18;2020;1100.464
Feb-26-2020;Feb;26;2020;651.703
Mar-5-2020;Mar;5;2020;1140.346
Mar-13-2020;Mar;13;2020;1034.125
Mar-21-2020;Mar;21;2020;1006.966
Mar-29-2020;Mar;29;2020;840.476
Apr-6-2020;Apr;6;2020;923.536
Apr-14-2020;Apr;14;2020;808.904
Apr-22-2020;Apr;22;2020;905.976
Apr-30-2020;Apr;30;2020;790.317
May-8-2020;May;8;2020;730.630
May-16-2020;May;16;2020;719.628
May-24-2020;May;24;2020;693.391
Jun-1-2020;Jun;1;2020;599.422
Jun-9-2020;Jun;9;2020;558.729
Jun-17-2020;Jun;17;2020;703.080
Jun-25-2020;Jun;25;2020;598.733
Jul-3-2020;Jul;3;2020;655.818
Jul-11-2020;Jul;11;2020;616.554
Jul-19-2020;Jul;19;2020;769.301
Jul-27-2020;Jul;27;2020;663.978
Aug-4-2020;Aug;4;2020;828.478
Aug-12-2020;Aug;12;2020;711.006
Aug-20-2020;Aug;20;2020;648.585
Aug-28-2020;Aug;28;2020;885.773
Sep-5-2020;Sep;5;2020;865.351
Sep-13-2020;Sep;13;2020;794.253
Sep-21-2020;Sep;21;2020;743.034
Sep-29-2020;Sep;29;2020;947.296
Oct-7-2020;Oct;7;2020;990.273
Oct-15-2020;Oct;15;2020;1033.933
Oct-23-2020;Oct;23;2020;947.473
Oct-31-2020;Oct;31;2020;998.800
Nov-8-2020;Nov;8;2020;860.700
Nov-16-2020;Nov;16;2020;1036.443
Nov-24-2020;Nov;24;2020;1239.550
Dec-2-2020;Dec;2;2020;840.590
Dec-10-2020;Dec;10;2020;783.041
Dec-18-2020;Dec;18;2020;1041.783
Dec-26-2020;Dec;26;2020;507.269
Jan-1-2021;Jan;1;2021;947.110
Jan-9-2021;Jan;9;2021;1163.284
Jan-17-2021;Jan;17;2021;1443.153
Jan-25-2021;Jan;25;2021;1146.352
Feb-2-2021;Feb;2;2021;916.643
Feb-10-2021;Feb;10;2021;906.069
Feb-18-2021;Feb;18;2021;1084.246
Feb-26-2021;Feb;26;2021;882.316
Mar-6-2021;Mar;6;2021;821.535
Mar-14-2021;Mar;14;2021;1018.622
Mar-22-2021;Mar;22;2021;1072.541
Mar-30-2021;Mar;30;2021;1054.820
Apr-7-2021;Apr;7;2021;1020.438
Apr-15-2021;Apr;15;2021;897.615
Apr-23-2021;Apr;23;2021;837.065
May-1-2021;May;1;2021;837.182
May-9-2021;May;9;2021;704.867
May-17-2021;May;17;2021;744.433
May-25-2021;May;25;2021;611.075
Jun-2-2021;Jun;2;2021;709.873
Jun-10-2021;Jun;10;2021;668.733
Jun-18-2021;Jun;18;2021;601.067
Jun-26-2021;Jun;26;2021;726.367
Jul-4-2021;Jul;4;2021;721.222
Jul-12-2021;Jul;12;2021;702.082
Jul-20-2021;Jul;20;2021;755.150
Jul-28-2021;Jul;28;2021;666.968
Aug-5-2021;Aug;5;2021;780.217
Aug-13-2021;Aug;13;2021;799.248
Aug-21-2021;Aug;21;2021;783.352
Aug-29-2021;Aug;29;2021;915.128
Sep-6-2021;Sep;6;2021;739.047
Sep-14-2021;Sep;14;2021;885.258
Sep-22-2021;Sep;22;2021;982.704
Sep-30-2021;Sep;30;2021;936.677
Oct-8-2021;Oct;8;2021;825.923
Oct-16-2021;Oct;16;2021;836.678
Oct-24-2021;Oct;24;2021;707.675
Nov-1-2021;Nov;1;2021;1057.579
Nov-9-2021;Nov;9;2021;969.599
Nov-17-2021;Nov;17;2021;1204.812
Nov-25-2021;Nov;25;2021;1149.661
Dec-3-2021;Dec;3;2021;1110.279
Dec-11-2021;Dec;11;2021;820.687
Dec-19-2021;Dec;19;2021;1366.959
Dec-27-2021;Dec;27;2021;613.228
Jan-1-2022;Jan;1;2022;618.433
Jan-9-2022;Jan;9;2022;826.789
Jan-17-2022;Jan;17;2022;1350.577
Jan-25-2022;Jan;25;2022;841.889
Feb-2-2022;Feb;2;2022;736.732
Feb-10-2022;Feb;10;2022;965.695
Feb-18-2022;Feb;18;2022;799.949
Feb-26-2022;Feb;26;2022;1212.945
Mar-6-2022;Mar;6;2022;1037.830
Mar-14-2022;Mar;14;2022;995.301
Mar-22-2022;Mar;22;2022;908.380
Mar-30-2022;Mar;30;2022;844.041
Apr-7-2022;Apr;7;2022;920.011
Apr-15-2022;Apr;15;2022;937.225
Apr-23-2022;Apr;23;2022;881.952
May-1-2022;May;1;2022;825.574
May-9-2022;May;9;2022;706.180
May-17-2022;May;17;2022;723.687
May-25-2022;May;25;2022;697.665
Jun-2-2022;Jun;2;2022;591.849
Jun-10-2022;Jun;10;2022;568.807
Jun-18-2022;Jun;18;2022;680.921
Jun-26-2022;Jun;26;2022;671.706
Jul-4-2022;Jul;4;2022;731.015
Jul-12-2022;Jul;12;2022;654.307
Jul-20-2022;Jul;20;2022;774.709
Jul-28-2022;Jul;28;2022;743.914
Aug-5-2022;Aug;5;2022;604.599
Aug-13-2022;Aug;13;2022;741.364
Aug-21-2022;Aug;21;2022;784.832
Aug-29-2022;Aug;29;2022;771.502
Sep-6-2022;Sep;6;2022;762.355
Sep-14-2022;Sep;14;2022;816.908
Sep-22-2022;Sep;22;2022;838.275
Sep-30-2022;Sep;30;2022;817.836
Oct-8-2022;Oct;8;2022;979.320
Oct-16-2022;Oct;16;2022;960.426
Oct-24-2022;Oct;24;2022;963.224
Nov-1-2022;Nov;1;2022;971.631
Nov-9-2022;Nov;9;2022;1028.522
Nov-17-2022;Nov;17;2022;1154.850
Nov-25-2022;Nov;25;2022;837.726
Dec-3-2022;Dec;3;2022;1015.253
Dec-11-2022;Dec;11;2022;1127.354
Dec-19-2022;Dec;19;2022;1058.851
Dec-27-2022;Dec;27;2022;525.040
Jan-1-2023;Jan;1;2023;861.343
Jan-9-2023;Jan;9;2023;971.566
Jan-17-2023;Jan;17;2023;969.064
Jan-25-2023;Jan;25;2023;942.330
Feb-2-2023;Feb;2;2023;960.782
Feb-10-2023;Feb;10;2023;708.422
Feb-18-2023;Feb;18;2023;1001.220
Feb-26-2023;Feb;26;2023;967.092
Mar-6-2023;Mar;6;2023;782.203
Mar-14-2023;Mar;14;2023;1120.602
Mar-22-2023;Mar;22;2023;1005.881
Mar-30-2023;Mar;30;2023;952.568
Apr-7-2023;Apr;7;2023;835.151
Apr-15-2023;Apr;15;2023;880.826
Apr-23-2023;Apr;23;2023;754.093
May-1-2023;May;1;2023;835.218
May-9-2023;May;9;2023;667.311
May-17-2023;May;17;2023;702.401
May-25-2023;May;25;2023;680.904
Jun-2-2023;Jun;2;2023;766.277
Jun-10-2023;Jun;10;2023;614.742
Jun-18-2023;Jun;18;2023;667.548
Jun-26-2023;Jun;26;2023;688.821
Jul-4-2023;Jul;4;2023;665.867
Jul-12-2023;Jul;12;2023;598.722
Jul-20-2023;Jul;20;2023;740.881
Jul-28-2023;Jul;28;2023;743.016
Aug-5-2023;Aug;5;2023;790.026
Aug-13-2023;Aug;13;2023;684.200
Aug-21-2023;Aug;21;2023;566.456
Aug-29-2023;Aug;29;2023;784.430
Sep-6-2023;Sep;6;2023;956.465
Sep-14-2023;Sep;14;2023;981.686
Sep-22-2023;Sep;22;2023;880.525
Sep-30-2023;Sep;30;2023;793.513
Oct-8-2023;Oct;8;2023;837.875
Oct-16-2023;Oct;16;2023;1011.933
Oct-24-2023;Oct;24;2023;905.923
Nov-1-2023;Nov;1;2023;1132.656
Nov-9-2023;Nov;9;2023;913.394
Nov-17-2023;Nov;17;2023;821.022
Nov-25-2023;Nov;25;2023;988.264
Dec-3-2023;Dec;3;2023;
Dec-11-2023;Dec;11;2023;1206.517
Dec-19-2023;Dec;19;2023;1131.927
Dec-27-2023;Dec;27;2023;631.612
